Year,Month,Day,Open,High,Low,Volume
2020,4,15,-0.006426528143538223,0.1411377387511688,0.05020879560381309,1.6461464482180626
2021,4,26,0.8794977212203781,0.8473873357810686,0.9138539962312452,-0.7389534172609213
2021,12,20,1.6322874221398942,1.7117245348282888,1.6871853200817926,-1.0068884071642776
2020,7,24,0.5205357198538632,0.629338637843747,0.5763900729095716,0.13407155857518935
2019,2,28,-0.4838768978100346,-0.5004736127095258,-0.46883491806039557,-0.27141934132319384
2019,2,1,-0.722838384202873,-0.6833503417251141,-0.6706851321926384,0.675350163954485
2020,1,31,-0.6263654201285409,-0.678205299379302,-0.6280499806895187,-0.5202161176620246
2021,5,26,0.8377336729323279,0.7880811156463515,0.8900621174260825,-1.2391212676870722
2018,2,12,-1.526368512349851,-1.5036288659112214,-1.503400890373358,0.33915727920482547
2021,2,8,1.3353101398631748,1.2638406376489573,1.3011858973803248,-1.1542474510096117
2018,11,7,-0.952256447283622,-0.8543469141914367,-0.9133622960053054,1.5855854436096661
2018,4,17,-0.7938936305712332,-0.7602426913123372,-0.7918334837527973,2.0103250698547064
2019,8,19,-1.015091241592246,-1.011592666689098,-0.972841993018214,-0.5950527734211336
2020,7,2,0.6799380612230653,0.6771389762984285,0.652428822403358,-0.22859238787105587
2019,5,13,-0.580066112925633,-0.6139413099707268,-0.6078745150464979,0.2070099947823818
2018,4,4,-1.3233126739985535,-1.2121488623555912,-1.2919386620363138,1.477854983286529
2019,1,18,-0.5830898204443338,-0.6257278206297154,-0.6684961746582965,2.0103250698547064
2022,1,20,0.9833404857557799,0.9985528498605594,0.9512547630957017,1.411547314007263
2018,11,23,-1.4510613119294273,-1.4442290092405266,-1.4287895965073716,-0.5162896635203896
2018,12,20,-1.4082577389845652,-1.4030701484533215,-1.475992598406052,2.0103250698547064
2021,7,19,1.0617658254995523,1.0759125121778343,1.0969562003482682,-0.869748545290219
2020,12,29,1.0036557395437695,1.0912537033417147,1.0326228648915905,-0.8342284369625808
2019,8,29,-1.1213908015575669,-1.1221605498763902,-1.0657255830410874,-0.739031426283603
2020,2,27,-0.3989318328240228,-0.2650260583916527,-0.34616384818970014,0.9717584471365849
2018,6,15,-0.21704147466114115,-0.19673979511915574,-0.1852355418845687,1.6531412572518362
2019,2,14,-0.5851685768436165,-0.5560381786049747,-0.5581020854043749,0.5368841486948411
2021,11,24,2.3086362496430204,2.259512273680239,2.32328466824709,-1.3946192528988415
2021,9,16,1.6121613248755455,1.5676680917753036,1.6249453939741756,-1.4037983145676969
2018,11,28,-1.3389032194337018,-1.2711744722199554,-1.366930711613947,1.9686097449757802
2020,2,28,-0.46743599369056293,-0.4033762292038193,-0.47749519049572975,1.0239984893256227
2021,6,8,0.7872768529308556,0.7383161685444194,0.7841406254017372,-1.2628620135898054
2020,3,20,-0.6743657376144383,-0.649207205411716,-0.7135105140419327,0.9421410215251795
2021,4,21,0.8912142004525024,0.8939718491844392,0.9195641042449935,2.0103250698547064
2021,3,12,0.9337340244386304,0.9973367441802697,0.9480190961284536,-0.8448116610397028
2018,3,23,-1.0041305380582004,-1.0338559457908083,-1.0146206749513538,0.5978872044317658
2019,5,21,-0.5927275432771754,-0.5936426395162665,-0.5428752258685607,-0.8331883166601608
2021,12,7,1.9478792313871072,1.9550299531229072,1.9454700896251682,-1.0675274207953556
2019,9,3,-1.1608869274738443,-1.1785669652914992,-1.1316765949549878,-0.9225346506380269
2020,3,5,-0.308789720933783,-0.26652278369659554,-0.3648165955221844,0.3943096582406386
2018,12,14,-1.340509646730447,-1.330387065172995,-1.3511328660203124,0.6981027955699196
2019,4,18,-0.5544598150758571,-0.5564124254113053,-0.5266013713972958,0.2919098144674032
2019,5,30,-0.5965073099594482,-0.614409202667334,-0.5583875784332855,-0.8379728700512922
2020,8,27,1.1726012207595677,1.1328804474712275,1.0875347115089389,0.4764531591242471
2019,7,22,-0.9607603553877492,-0.9854940874578423,-0.9627542554383275,2.0103250698547064
2019,4,25,-0.3703018274555465,-0.42217817435333677,-0.392795873547311,-0.25355527512913256
2020,2,5,-0.36425442186699475,-0.4175946612401091,-0.4251530571243701,-0.2063598164068314
2018,2,16,-1.2751234834545095,-1.2902573269774036,-1.2493987732159306,0.2813005873827208
2020,9,16,0.8155288192686961,0.7929452483842314,0.7264691397282758,-0.7373672337997312
2020,4,9,-0.4027113065919526,-0.4470606479043028,-0.41820572382899585,0.12499650893657578
2019,5,31,-0.6279718568741356,-0.6599645934790909,-0.609587463703209,-0.5739383312820104
2018,4,13,-0.9107758550399639,-0.9578990822592218,-0.9397235930371596,1.2523048957067822
2018,10,31,-1.0952175916190086,-1.0139312415137,-1.0651545969832663,2.0103250698547064
2018,6,12,-0.4731996503203801,-0.5043089128390711,-0.42800796837997124,-0.764384358655087
2019,8,20,-1.030965243071786,-1.0747341869533604,-1.0401254928964763,0.031021639612941604
2021,5,5,0.8627730681421718,0.822130615423772,0.8341988335753154,-1.0664352944778148
2021,3,4,1.0187736724108862,1.0440146041363394,0.958392326737251,-0.5709739884201138
2018,10,2,-0.2768525614510645,-0.30955261659507405,-0.3154249215917078,0.36614840105262075
2021,10,12,2.072509588261887,2.037066765089386,2.0462521646742884,-1.0409783500760887
2019,7,8,-0.335340969902977,-0.3895317633448814,-0.30086431079645115,-1.0705957756874942
2022,2,4,-0.060190502259252814,-0.06662145446108574,-0.09834755290435414,0.14348464731208885
2020,4,23,0.05272336593455144,0.1732229198646177,0.11692131894100694,1.7478442107871646
2019,11,25,-0.9907133320085794,-0.9743624525841368,-0.9680836172571811,0.16727739922994314
2020,5,28,0.03363650041267128,0.023179874929439286,0.04307123196226419,-0.40967733252235383
2019,11,18,-1.1119419517828713,-1.0748278234893376,-1.081999142493055,0.36040173638175105
2018,7,13,-0.04242662688742727,-0.09253276062038736,-0.11319395174781859,2.0103250698547064
2019,1,9,-0.9068075082138876,-0.9030827387017546,-0.8895704172001418,1.5894598917361802
2018,7,24,-0.4416405298682973,-0.49102596685841776,-0.498812618737641,1.4616031035612187
2020,1,17,-0.6867437119215896,-0.7326473961304385,-0.6623103432694635,-0.30270095941847114
2018,9,4,-0.44608149871125397,-0.4771815009994798,-0.4350502693387842,0.09740731791488923
2020,2,18,-0.3248528789369624,-0.283921640077147,-0.26441499068216495,-0.534803804903463
2018,4,27,-0.9206027438452946,-0.9582730484365731,-0.9561876778545992,-0.04061664621622657
2018,11,14,-1.0703670694673117,-1.104293810153531,-1.2245601849778611,2.0103250698547064
2019,7,9,-0.3271205083943913,-0.32863518136924375,-0.28049831978795814,-0.0774369049218895
2020,6,24,0.5183626733826794,0.49080120331392574,0.4475331716500427,-0.6252162621913095
2019,11,13,-1.1589027446119564,-1.1831504784047264,-1.1975323537029043,0.5014160463823236
2020,7,17,0.767150755666506,0.7829360733005394,0.7343682052763655,2.0103250698547064
2018,10,24,-0.7691376914057814,-0.812813806597901,-1.01109922945265,2.0103250698547064
2020,4,8,-0.37483708637040425,-0.3882220211286145,-0.3679572853092421,-0.08365162372884838
2019,7,19,-0.8530435246493228,-0.8796969904557314,-0.8826230839047675,2.0103250698547064
2020,10,5,0.8798754673366703,0.9457008249670648,0.9014823334535792,-0.8171444609953346
2021,3,11,0.9308994828924193,1.0322280934773505,0.9872280648156055,-0.6542616216363841
2019,4,16,-0.5544598150758571,-0.518340361786685,-0.5163234129879863,2.0103250698547064
2018,3,5,-1.0472172741331112,-0.9633244448921087,-1.040886709300472,2.0103250698547064
2020,3,23,-0.6216409952411931,-0.5030930971420596,-0.6290017129422345,1.6170750857654275
2019,3,18,-0.4838768978100346,-0.4576310528830014,-0.4293404563443336,-0.009335028120949067
2018,5,1,-0.9762566107509956,-0.9954096260055576,-0.9543794760319039,-0.31047585867905964
2018,3,13,-0.8486025558063662,-0.8797906269917086,-0.8916641120517482,1.478687079528465
2020,11,20,0.6759694120337963,0.7003377414557753,0.7099100777306453,-0.7741614894978338
2018,4,11,-1.04693381808872,-1.0126214992974336,-1.000726008360605,1.9883980337293183
2018,8,13,-0.6972317934387544,-0.6800762808448747,-0.6462270141636699,-0.08885222524094767
2021,7,29,1.0042226516325508,0.9437367869320715,1.0165395357857974,-1.4287612018257736
2021,5,10,0.8345211018043313,0.7788201629006407,0.7531159202722888,-0.5458030771015531
2021,12,21,1.7372640014040115,1.75793479207103,1.7785458967748329,-1.2770596557178366
2018,7,10,0.03363650041267128,-0.004228156534805131,0.05810757564935816,0.559662783317836
2021,8,6,1.042395796847624,1.0004238219718324,1.0698336964291695,-1.3810716859598229
2020,3,24,-0.41282165144167493,-0.4392967010925136,-0.5133732390496498,1.146238627867517
2022,1,7,1.2829637199860582,1.2491543222703592,1.2490337088525936,-1.000829706402682
2019,3,27,-0.4977667164276863,-0.5371425969194801,-0.538687836165349,0.16168675260443666
2021,11,10,2.2613920007695447,2.2491291417734938,2.2377291577144867,-1.2545930571855677
2018,4,2,-1.1503042629704343,-1.1882018842145614,-1.2554896274245737,1.6057377744690513
2018,3,2,-1.2191864534187604,-1.1104676757533787,-1.1776423810887937,1.5900059548949508
2019,3,21,-0.37493166935664923,-0.38251603887107444,-0.34606888052626145,0.3415235528928306
2020,11,6,0.9573561488753682,0.8916332743598367,0.9091908831529487,-0.7786080037906786
2020,3,11,-0.5174202011240052,-0.5323718107342988,-0.5917911764239526,-0.31063187672442244
2019,9,13,-1.162871393801225,-1.1531232618455267,-1.1128333222570317,-0.16836942236094607
2018,8,16,-0.7916260011138043,-0.8299320527080991,-0.8161963486157815,-0.14065021630145663
2018,4,10,-1.0960679503033317,-1.131327585457145,-1.0971307488628845,0.8918772079107399
2020,9,8,0.80050518592233,0.9551487608014514,0.8377199840547224,-0.43110381075220294
2021,8,10,1.004600397748844,0.9438298528557918,1.008735732920443,-1.3703844498524589
2018,8,7,-0.5711841752397203,-0.58541080936217,-0.5516304754840853,0.19250031656362496
2019,7,5,-0.334396018783559,-0.3600657766806881,-0.2989608367742682,-0.9096891649031416
2018,11,12,-1.0741465526840912,-1.098213571735361,-1.1072184769260194,0.9606031568931319
2020,10,26,0.6930718112282948,0.7196075699476007,0.6845002274489604,-0.27160136237611715
2018,12,24,-1.62217983961641,-1.5831404099477,-1.6491975903086604,0.6024897367699736
2021,5,17,0.6794654392061846,0.6811612501623503,0.7217107639672429,-1.1767400525494411
2019,9,30,-1.4143051445731165,-1.4126114308404067,-1.372260063916049,-0.1308990884662704
2021,12,10,1.9190603529604853,1.850729282088162,1.8929374404050878,-1.165636768321109
2019,7,30,-0.7982400258767949,-0.8441507653733676,-0.7969723202061789,-0.31237407823097574
2020,12,11,0.7683791533814645,0.7805974984759368,0.8362925284269224,-1.0452428433160101
2021,7,9,1.1085377452704908,1.1072497609365781,1.1572926619504535,-1.1580178871058835
2019,8,8,-0.9699257491180535,-0.9684694872379208,-0.9549504525729733,-0.3444617895606286
2019,8,13,-0.9818313943226665,-0.9678146114526373,-0.9403898322609645,-0.5047703311710895
2021,3,30,0.9149309078754844,0.8841493765604442,0.9510645327495276,-1.2513946872556267
2018,11,6,-0.9346814355210924,-0.932361742277272,-0.9676078938820963,0.644822633078462
2018,7,25,-0.5301762050129425,-0.5295656331963677,-0.4884393976455957,0.3217092611317321
2018,10,22,-0.7613895684485825,-0.7866218808139467,-0.8244758748562209,2.0103250698547064
2019,10,10,-1.395690901068117,-1.3036339001397348,-1.350847372991402,0.9305176771456377
2021,11,29,2.3576757988713877,2.3207828218332276,2.3917101307242428,-1.222453339840794
2021,1,21,1.594681179564754,1.5795482389702695,1.5552832772204885,1.1887275422213681
2021,11,11,2.2352184979166436,2.3004841513787673,2.3100568214019885,-1.1343291472182713
2018,7,18,-0.3065220914763541,-0.3438827359971477,-0.32941456536264724,2.0103250698547064
2020,6,23,0.49908693480265265,0.5062360310137838,0.547459062631729,-0.3334105113474175
2018,5,23,-0.7997518701872953,-0.7005622150169897,-0.7507210505602145,0.7328948196858637
2021,2,9,1.250270491890918,1.3667379299314593,1.29452405711386,-0.9171520280730042
2021,12,9,2.0211078171409955,1.9676580233182779,1.9363337987954525,-1.2622639444159143
2018,9,14,-0.42642801401493546,-0.45650858373868897,-0.41411359680851945,-0.6433663614685361
2019,10,2,-1.4179903377179945,-1.408214900815855,-1.377874918763813,0.11142293898999654
2019,9,20,-1.2606667527480755,-1.2852059211675693,-1.341616114498247,2.0103250698547064
2020,10,29,0.7069616298459465,0.879379160987519,0.6886876171521723,1.0115430487041446
2020,8,26,0.7447570289447266,1.2080888080358536,0.8099309458925221,2.0103250698547064
2021,12,22,1.792256373234686,1.8234148871598952,1.862007997958376,-1.2728211654854757
2019,10,9,-1.3574231728667991,-1.3927803630992757,-1.3552250025575399,-0.11342506738561675
2018,10,9,-0.6160662116695221,-0.5722212192885152,-0.5699027716409725,0.3963898988454781
2021,2,19,1.2691681914403081,1.207621205322525,1.2546488492029024,-1.1412979532444845
2020,5,20,0.38333852506263727,0.3359876715311426,0.3523656564293887,-0.4221067701362712
2021,3,3,1.2496090062647407,1.1984541790960688,1.0547970672395306,-0.48578813565192713
2021,5,3,0.9351515786772298,0.9266182601928942,0.9347909637808076,-0.8161563467080356
2018,10,26,-1.0693275448104984,-0.9906391298036544,-1.091325663668946,2.0103250698547064
2018,4,3,-1.2116272035197082,-1.203355802306488,-1.2273198335507265,1.4208823937214814
2021,8,11,0.9762538484247584,0.9324178789864119,0.9782822993513617,-1.4449090695208417
2019,5,20,-0.5900818747891103,-0.6311531926169022,-0.5859861007467656,-0.678444418667646
2019,11,29,-0.9250437126882513,-0.9660372758773411,-0.8910931355106783,-1.2530588797394984
2022,1,10,1.1793095355944603,1.1580435312925474,1.135784708343071,-0.7136524909045583
2020,8,11,0.6242841943173635,0.5708742672286891,0.5669682890509444,0.025639017047918586
2019,7,31,-0.8364134545573616,-0.8243196976322364,-0.841701166560905,-0.25251515482671283
2019,9,12,-1.1865878083098649,-1.18951133644755,-1.1455709760431907,-0.5771887072270725
2020,10,15,1.2457352329760603,1.2284811150262898,1.2193414916875067,-0.550613633500245
2019,9,4,-1.1568239882126736,-1.192785397327789,-1.1464274456131707,-0.6703834863238921
2018,11,13,-1.1213908015575669,-1.0882980331876455,-1.1217790972380277,1.3005664777390638
2020,6,12,0.1447550682515844,0.1325316617907412,0.05211226010924486,-0.20009309158475183
2021,1,27,1.2947747822044267,1.2771235836296102,1.0350020527721069,0.3743653514417377
2021,7,20,1.0619549820231924,1.0920958428446514,1.0784936833619578,-0.0780609771033415
2019,9,11,-1.2092649910760342,-1.1902598394145105,-1.1645095114238833,0.04558332384681952
2020,1,29,-0.6111529137240282,-0.6594033542297846,-0.651175905773423,0.10736646981055932
2019,7,1,-0.379656094243997,-0.4044050618121549,-0.33284045315931776,-0.5819472576106434
2018,12,11,-1.3190608616792363,-1.360040315554843,-1.3724502942622232,0.6793546271188016
2018,12,17,-1.3905884371501336,-1.3742587475911332,-1.388438655704578,0.6251383563551665
2021,10,29,2.450841325365985,2.5357444419789856,2.514952177136008,-0.8875085994540381
2022,1,18,1.0053564663612653,0.952810185976849,0.9679090782593159,-0.6218618742160056
2020,11,24,0.6156857032269918,0.6001529901752276,0.6558550052193263,-0.9569366296405638
2018,9,17,-0.4673414107043179,-0.49168083328940154,-0.5463011231819834,-0.04126672140523891
2020,6,5,-0.06037937531739939,0.0032551706523304114,-0.025925216572709697,-0.5541240395209119
2021,8,2,0.9951515479741484,0.9350367928066874,0.9853248953294714,-1.334994356562623
2019,3,22,-0.3565062989097964,-0.40655665354808096,-0.4466607157124559,0.37202508076129287
2019,2,5,-0.5714676312841109,-0.5602477255408506,-0.5146104643312758,0.47221466889188596
